Date,close,high,low,open,volume,sma_20,ema_9,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,rsi_14,cci_20,roc_10,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,atr_14,obv,return,ret_lag_1,ret_lag_2,ret_lag_3,ret_lag_5,roll_std_20,roll_mean_5,target_reg
2015-04-16,8706.7001953125,8760.0,8645.650390625,8757.0498046875,142900,8612.980126953125,8700.298556184422,18.412404392043754,31.046845788998453,-12.6344413969547,52.51198862141816,3010.6456414325803,4.379358232198815,8345.197249863038,8612.980126953125,8880.763004043212,6.218123649260436,0.6749926458663105,112.54509515167324,580000.0,-1.4410211080767454,0.6110279546012176,0.02335081659441407,0.7332623152276119,0.004612224673294918,0.9115122891407096,0.11026328681997599,-1.156582781691673
2015-04-17,8606.0,8699.849609375,8596.7001953125,8698.0498046875,150400,8611.622607421876,8681.438844947537,10.968457763106926,18.882319328049302,-7.913861564942375,46.51738673707583,2935.566032210665,1.3388622390573262,8343.995036484517,8611.622607421876,8879.250178359234,6.21549696584951,0.4894954630380893,112.36330264083944,429600.0,-1.156582781691673,-1.4410211080767454,0.6110279546012176,0.02335081659441407,0.6246964557533818,0.9492814131176369,-0.24599256066903497,-1.8347709810016322
2015-04-20,8448.099609375,8619.9501953125,8422.75,8618.7998046875,148900,8597.86259765625,8634.770997833031,-7.584733380796024,0.2633025473170818,-7.848035928113106,38.999460580453196,2880.1734855176464,-0.5052454437050995,8326.143829897408,8597.86259765625,8869.581365415093,6.320612004963008,0.22441545073145408,118.42308068881519,280700.0,-1.8347709810016322,-1.156582781691673,-1.4410211080767454,0.6110279546012176,0.7332623152276119,0.9978172802634412,-0.7595992199148838,-0.8327270348106652
2015-04-21,8377.75,8469.349609375,8352.7001953125,8416.099609375,407800,8582.455078125002,8583.366798266426,-27.646208291196672,-15.838537890466853,-11.807670400729819,36.19293071866109,2988.2582609277224,-2.428301062745669,8297.14869025109,8582.455078125002,8867.761465998914,6.6485961249270575,0.14125395219775302,118.29639021550696,-127100.0,-0.8327270348106652,-1.8347709810016322,-1.156582781691673,-1.4410211080767454,0.02335081659441407,1.0076821551821091,-0.9308147901958996,0.6200972255378856
2015-04-22,8429.7001953125,8449.9501953125,8284.7001953125,8400.400390625,171800,8572.207568359376,8552.633477675641,-38.90465643491552,-21.677588827348565,-17.22706760756696,39.64691772804502,3162.186253685356,-2.6582314452682296,8280.151980457982,8572.207568359376,8864.26315626077,6.814011106763012,0.25602697063445623,121.6502194858279,44700.0,0.6200972255378856,-0.8327270348106652,-1.8347709810016322,-1.156582781691673,0.6110279546012176,1.017768856522824,-0.929000936008566,-0.37249712205020824
2015-04-23,8398.2998046875,8504.9501953125,8361.849609375,8478.2001953125,156000,8563.5775390625,8521.766743078013,-49.78689447275792,-26.04786149215277,-23.739032980605153,38.2974745923461,3475.9216404426306,-3.025299422754269,8261.336481921035,8563.5775390625,8865.818596203966,7.058756828271882,0.2265796117540028,123.18238851809019,-111300.0,-0.37249712205020824,0.6200972255378856,-0.8327270348106652,-1.8347709810016322,-1.4410211080767454,1.0092309374351118,-0.7152961388032586,-1.107960025856236
2015-04-24,8305.25,8413.2998046875,8273.349609375,8405.7001953125,173600,8551.295019531251,8478.463394462411,-65.16826887095158,-33.143388712277144,-32.024880158674435,34.54517384431674,3797.1981640311033,-4.695106631377257,8227.675336771794,8551.295019531251,8874.91470229071,7.568904640064616,0.119854674114285,124.38008900340519,-284900.0,-1.107960025856236,-0.37249712205020824,0.6200972255378856,-0.8327270348106652,-1.156582781691673,1.0341009072172287,-0.7055715876361712,-1.1011130948797465
2015-04-27,8213.7998046875,8334.4501953125,8202.349609375,8330.5498046875,171500,8534.837500000001,8425.53067650743,-83.77171716943849,-41.397469608611246,-42.37424756082724,31.299405998362793,4150.421224917178,-6.430630219516588,8177.69018982111,8534.837500000001,8891.984810178894,8.36916485355209,0.050552830494933705,124.93155307012626,-456400.0,-1.1011130948797465,-1.107960025856236,-0.37249712205020824,0.6200972255378856,-1.8347709810016322,1.0559991235266182,-0.5588400104117941,0.8741362876475867
2015-04-28,8285.599609375,8308.0,8185.14990234375,8215.5498046875,174600,8522.577490234375,8397.544463080943,-91.66478520977034,-39.432430119154475,-52.23235509061587,36.35549050099443,4497.059658631657,-5.634741462592139,8148.417512656873,8522.577490234375,8896.737467811876,8.780441785509929,0.18332011029922554,124.78287768342082,-281800.0,0.8741362876475867,-1.1011130948797465,-1.107960025856236,-0.37249712205020824,-0.8327270348106652,1.0825877629880065,-0.21746734592014372,-0.5533650132347967
2015-04-29,8239.75,8308.2001953125,8219.2001953125,8274.7998046875,160400,8517.457470703126,8365.985570464756,-100.46171863641575,-38.5834908366399,-61.87822779977585,34.60411742420814,4639.7477692405155,-6.726850803712927,8130.324233511534,8517.457470703126,8904.590707894718,9.090347407619848,0.14132830247575903,122.22695784889078,-442200.0,-0.5533650132347967,0.8741362876475867,-1.1011130948797465,-1.107960025856236,0.6200972255378856,0.9736289081911691,-0.4521597936746802,-0.7069389241178392
2015-04-30,8181.5,8229.400390625,8144.75,8224.5,267700,8509.462451171876,8329.088456371806,-110.85576370132003,-39.18202872123534,-71.67373498008469,32.46437877765092,4727.219348116769,-6.032138278922898,8101.003060473221,8509.462451171876,8917.92184187053,9.600122053359634,0.09853726142651786,120.28217514539858,-709900.0,-0.7069389241178392,-0.5533650132347967,0.8741362876475867,-1.1011130948797465,-0.37249712205020824,0.9842590727404817,-0.5190481540882064,1.838907233545184
2015-05-04,8331.9501953125,8346.0,8220.4501953125,8230.0498046875,131700,8501.444970703125,8329.660804159945,-105.73420777338288,-27.24837823463855,-78.48582953874433,42.37547751500026,4986.128545645835,-3.18440395872066,8085.343756935002,8501.444970703125,8917.546184471248,9.788952706323498,0.296329871456374,123.44059120644154,-578200.0,1.838907233545184,-0.7069389241178392,-0.5533650132347967,0.8741362876475867,-1.107960025856236,0.9873131668627272,0.07032529779207763,-0.08581893143123631
